,主催者,共催・協力,タイトル,サブタイトル,内容,サブイベント,学ぶ,ふれる・感じる,体を動かす,奏でる,乗る,見る,作る・描く,収穫・採集する,その他,"集合
場所",建物,住所,緯度,経度,所要時間,開始日,終了日,開始時間,終了時間,スケジュール備考,開始時間,終了時間,スケジュール備考,就学前,小学生低学年,小学生中学年,小学校高学年,中学生,高校生以上,対象者備考,募集人数,事前登録,申し込み方法,"申込
締切","申込み・問合せ先
",料金種別,金額,料金備考,問合せ先部署名,郵便番号,住所,電話番号,FAX番号,内線,email,ウエブサイトURL,説明
MEXT014,文部科学省,ガールスカウト日本連盟,身の回りの物を使って楽しく作ろう（工作）,ガールスカウトのクラフトにチャレンジ！,身近なものをリサイクルして、工作をする「エコクラフト」を予定しています。,,,,,,,,1,,,"《受付》
旧文部省庁舎１階正面玄関",旧文部省庁舎,東京都千代田区霞が関3-2-2,35.671291,139.749253,20分,2017-08-02,2017-08-03,10:00,16:00,,,,,1,1,1,1,,,,約300人,不要,,,"担当部署：文部科学省生涯学習政策局青少年教育課
郵便番号：100-8959
住所：千代田区霞が関3-2-2
代表電話：03-5253-4111
直通電話：03-6734-3486",無料,,,文部科学省生涯学習政策局青少年教育課,100-8959,東京都千代田区霞が関3-2-2,03-5253-4111,,,,,直通電話：03-6734-3486
MEXT015,文部科学省,「早寝早起き朝ごはん」全国協議会,「早寝早起き朝ごはん」運動PR,オリジナル缶バッジを作ろう！,"自分でイラスト等を描いたり、ぬり絵をして、オリジナルの缶バッジを作成できます。同時に「早寝早起き朝ごはん」のガイドの説明、配布やクイズなども行います。クイズに全問正解すればプレゼントがもらえるかも！？
「早寝早起き朝ごはん」運動キャラクターも遊びに来るよ。",,1,,,,,,1,,,"《受付》
旧文部省庁舎１階正面玄関",旧文部省庁舎,東京都千代田区霞が関3-2-2,35.671291,139.749253,10分,2017-08-02,2017-08-03,10:00,16:00,,,,,1,1,1,1,,,,,不要,,,"担当部署：文部科学省生涯学習政策局男女共同参画学習課家庭教育支援室
郵便番号：100-8959
住所：東京都千代田区霞が関3-2-2
代表電話：03-5253ｰ4111
直通電話：03-6734-3467",無料,,,担当部署：文部科学省生涯学習政策局男女共同参画学習課家庭教育支援室,100-8959,東京都千代田区霞が関3-2-2,03-5253-4111,,,,,直通電話：03-6734-3467
MEXT016,文部科学省,国立女性教育会館,すごろくで遊ぼう！男女共同参画,,"「男女雇用機会均等法すごろく」で遊べます。A4版すごろくの無料配布もします。
※壁面に、働く女性の変化をイラストにしたパネル「28歳の働く私」を展示します。",男女共同参画の絵本を紹介します。読み聞かせもあります。,1,,1,,,1,,,,"《受付》
旧文部省庁舎１階正面玄関",旧文部省庁舎,東京都千代田区霞が関3-2-2,35.671291,139.749253,,2017-08-02,2017-08-03,10:00,16:00,,,,,,1,1,1,1,1,,,不要,,,"担当部署：国立女性教育会館情報課
郵便番号：355-0292
住所：埼玉県比企郡嵐山町菅谷728
代表電話：0493-62-6195
直通電話：0493-62-6728
メール：infodiv@nwec.jp
web：https://www.nwec.jp/
",無料,,,国立女性教育会館情報課,355-0292,埼玉県比企郡嵐山町菅谷728,0493-62-6195,,,infodiv@nwec.jp,https://www.nwec.jp/,直通電話：0493-62-6728
MEXT017,文部科学省,"・（公社）全国中学校産業教育教材振興協会
・全日本中学校技術・家庭科研究会","テクノロジーを楽しもう!
",プログラミング体験,中学校の技術分野で学習する「テクノロジー」の楽しさを理解していただくために、プログラミングや木材加工を体験する。,簡単なロボットや機器を制御するプログラミング体験,1,1,,,,,1,,,"《受付》
旧文部省庁舎１階正面玄関",旧文部省庁舎,東京都千代田区霞が関3-2-2,35.671291,139.749253,120分,2017-08-02,2017-08-02,10:00,12:00,2時間,,,,,,1,1,1,,"プログラミングのために簡単なコンピュータの操作をします。
",24人,必要,「往復はがき（締切日必着」,7/12/17,"担当部署：文部科学省 初等中等教育局 教育課程課 庶務・助成係
郵便番号：100-8959
住所：東京都千代田区霞が関3-2-2
代表電話：03-5253-4111
直通電話：03-6734-2425
                                                                 申し込み先は、文部科学省 初等中等教育局 教育課程課 庶務・助成係です。",無料,,,文部科学省 初等中等教育局 教育課程課 庶務・助成係,100-8959,東京都千代田区霞が関3-2-2,03-5253-4111,,,,,"直通電話：03-6734-2425
                                                                 申し込み先は、文部科学省 初等中等教育局 教育課程課 庶務・助成係です。"
MEXT018,文部科学省,"・（公社）全国中学校産業教育教材振興協会
・全日本中学校技術・家庭科研究会","テクノロジーを楽しもう!
",木材加工体験,中学校の技術分野で学習する「テクノロジー」の楽しさを理解していただくために、プログラミングや木材加工を体験する。,木材を使った簡単な楽器やキーホルダー作りの体験,1,1,,,,,1,,,"《受付》
旧文部省庁舎１階正面玄関",旧文部省庁舎,東京都千代田区霞が関3-2-2,35.671291,139.749253,10～20分,2017-08-02,2017-08-02,13:30,15:30,キーホルダづくり10分、楽器20分,,,,1,1,1,1,1,1,,キーホルダー60人、楽器40人,不要,,,"担当部署：文部科学省 初等中等教育局 教育課程課 庶務・助成係
郵便番号：100-8959
住所：東京都千代田区霞が関3-2-2
代表電話：03-5253-4111
直通電話：03-6734-2425",無料,,,文部科学省 初等中等教育局 教育課程課 庶務・助成係,100-8959,東京都千代田区霞が関3-2-2,03-5253-4111,,,,,直通電話：03-6734-2425
MEXT019,文部科学省,(公社)日本理科教育振興協会,環境・エネルギーを考える理科実験,,学習指導要領に基づく、理科授業の中で児童たちが楽しく操作できる理科実験機器を展示いたします。児童たちが手にとって操作を行うことで、日常の生活で当たり前になっている電気について、エネルギーとの関係わ考える機会を提供いたします。,,,1,,,,,,,,"《受付》
旧文部省庁舎１階正面玄関",旧文部省庁舎,東京都千代田区霞が関3-2-2,35.671291,139.749253,,2017-08-02,2017-08-03,10:00,16:00,10時～16時の中で実施,,,,1,1,1,1,1,,,,不要,,,"担当部署：文部科学省初等中等教育局教育課程課
郵便番号：100-8959
住所：東京都千代田区霞が関3-2-2
代表電話：03-5253ｰ4111
直通電話：03-6734-3468
web：http://www.mext.go.jp",無料,,,文部科学省初等中等教育局教育課程課,100-8959,東京都千代田区霞が関3-2-2,03-5253-4111,,,,http://www.mext.go.jp,直通電話：03-6734-3468
MEXT020,文部科学省,,"教科書の展示
教科書に関するパネル展示",,教科書の展示、また教科書に関するパネル展示をいたします。,,1,1,,,,1,,,,"《受付》
旧文部省庁舎１階正面玄関",旧文部省庁舎,東京都千代田区霞が関3-2-2,35.671291,139.749253,,2017-08-02,2017-08-03,10:00,16:00,,,,,1,1,1,1,1,1,,,不要,,,"担当部署：文部科学省初等中等教育局教科書課
郵便番号：100-8959
住所：東京都千代田区霞が関3-2-2
代表電話：03-5253ｰ4111
直通電話：03-6734-2409
",無料,,,文部科学省初等中等教育局教科書課,100-8959,東京都千代田区霞が関3-2-2,03-5253-4111,,,,,直通電話：03-6734-2409
MEXT021,文部科学省,秋田県教育委員会,第27回全国産業教育フェア秋田大会PR,缶バッチ作りや橋の組立を体験してみよう,"専門高校の生徒による学習成果発表会の祭典「第27回全国産業教育フェア」が秋田県で開催されます。[平成29年10月21日（土）～22日（日）]
産業教育や秋田県に関するクイズコーナーや缶バッジ作り、レオナルドの橋の組立を体験できるので、ぜひお越しください。",,1,,,,,1,1,,,"《受付》
旧文部省庁舎１階正面玄関",旧文部省庁舎,東京都千代田区霞が関3-2-2,35.671291,139.749253,５分～２０分,"2017-8-2
2017-8-3","2017-8-2
2017-8-3","10:00
10:00","16:00
15:00",,,,,1,1,1,1,1,1,,,不要,,,"担当部署：文部科学省初等中等教育局児童生徒課産業教育振興室
郵便番号：100-8959
住所：東京都千代田区霞が関3-2-2
代表電話：03ｰ5253ｰ4111
直通電話：03-6734-2904
メール：sansin@mext.go.jp",無料,,,文部科学省初等中等教育局児童生徒課産業教育振興室,100-8959,東京都千代田区霞が関3-2-2,03-5253-4111,,,sansin@mext.go.jp,,直通電話：03-6734-2904
MEXT023,文部科学省,全国学校図書館協議会,絵本の読み聞かせ教室,,"・全国学校図書館協議会「学校図書館スーパーバイザー」による絵本の読み聞かせを行います。
・子供は絵本や物語を読んでもらうことが大好きです。子供は、先生の読む言葉を聞きながら、登場人物になりきって、想像上の世界に思いを巡らし楽しみます。その際、登場人物の悲しみや悔しさなどの様々な気持ちに触れることができ、他人の痛みや思いを知る機会となります。こうした体験は子供の心を育てていきます。
 
",,,1,,,,1,,,,"《受付》
旧文部省庁舎１階正面玄関",旧文部省庁舎,東京都千代田区霞が関3-2-2,35.671291,139.749253,,2017-08-02,2017-08-03,10:30,12:00,,,,,1,1,1,,,,,,不要,,,"担当部署：文部科学省初等中等教育局児童生徒課
郵便番号：１００－８９５９
住所：東京都千代田区霞が関３－２－２
代表電話：０３－５２５３－４１１１（内線３２９７）

共催担当部署：全国学校図書館協議会
郵便番号：１１２－０００３
住所：東京都文京区春日2-2-7
代表電話：０３-３８１４-４３１７",無料,,,文部科学省初等中等教育局児童生徒課,100-8959,東京都千代田区霞が関3-2-2,03-5253-4111,,3297,,,"共催担当部署：全国学校図書館協議会
郵便番号：１１２－０００３
住所：東京都文京区春日2-2-7
代表電話：０３-３８１４-４３１７"
MEXT024,文部科学省,法務省,少年院のこどもたちの作品展示,,全国の少年院に在院する子供たちが作った作品を展示します。,,,,,,,1,,,,"《受付》
旧文部省庁舎２階正面玄関",旧文部省庁舎,東京都千代田区霞が関3-2-3,35.671291,139.749253,-,2017-08-02,2017-08-03,10:00,16:00,,,,,1,1,1,1,1,1,,,不要,,,"担当部署：文部科学省初等中等教育局児童生徒課
郵便番号：１００－８９５９
住所：東京都千代田区霞が関３－２－２
代表電話：０３－５２５３－４１１１（内線３２９７）
",無料,,,文部科学省初等中等教育局児童生徒課,100-8959,東京都千代田区霞が関3-2-2,03-5253-4111,,3297,,,
MEXT025,文部科学省,国立特別支援教育総合研究所,障害のあるこどもを支援する教材・支援器機体験コーナー,,実際に子供たちが障害の疑似体験や発達障害などの障害のある子供の教育的支援に活用されている教材・支援機器の体験をすることで、障害のある子供と共に学ぶことについての理解を深めます。,,1,1,1,,,1,,,,"《受付》
旧文部省庁舎１階正面玄関",旧文部省庁舎,東京都千代田区霞が関3-2-2,35.671291,139.749253,,2017-08-02,2017-08-03,10:00,16:00,,,,,1,1,1,1,,,,,不要,,,"担当部署：文部科学省初等中等教育局特別支援教育課
郵便番号：100-8959
住所：東京都千代田区霞が関3-2-2
代表電話：03-5253ｰ4111（内線：2433）
",無料,,,文部科学省初等中等教育局特別支援教育課,100-8959,東京都千代田区霞が関3-2-2,03-5253-4111,,2433,,,
MEXT026,文部科学省,,こども感染症教室,,感染症に関する知識とその予防法をワークショップ形式で学びます。「正しい手洗いを学ぼう」のワークショップでは洗い残しがなくなる正しい手洗いの方法を説明した後、手洗いチェッカーを用いて実際に手洗いを行います。「感染症を媒介する動物を学ぼう」のワークショップでは生きたマダニや蚊の標本を観察しながらスケッチをして勉強して行きます。その後これら媒介動物から身を守る方法についての授業を行います。,,1,1,,,,,1,,,"《受付》
旧文部省庁舎１階正面玄関",旧文部省庁舎,東京都千代田区霞が関3-2-2,35.671291,139.749253,30分,2017-08-02,2017-08-03,10:00,16:00,"(手洗い)
①10:00～
②11:00～
③13:30～
④14:30～
⑤15:30～",,,,1,1,1,1,1,,,,不要,,,"担当部署：長崎大学医歯薬学総合研究科事務部学務課大学院係リーディング大学院支援室
郵便番号：〒852-8523
住所：長崎市坂本1-12-4
代表電話：095-819-7161
メール：lead_jimu＠ml.nagasaki-u.ac.jp
web：http://www.tecd.prj.nagasaki-u.ac.jp/",無料,,,長崎大学医歯薬学総合研究科事務部学務課大学院係リーディング大学院支援室,852-8523,長崎市坂本1-12-4,095-819-7161,,,lead_jimu＠ml.nagasaki-u.ac.jp,http://www.tecd.prj.nagasaki-u.ac.jp/,
MEXT027,文部科学省,東京海洋大学,"お魚なんでも相談室
",～金魚＆めだかのプレゼントもあるよ！～,"♦金魚・めだかの展示及びプレゼント（各日先着300名予定）
♦さかな相談室
♦タッチプール
♦南極の氷の展示",,1,1,1,,,1,,,,"《受付》
旧文部省庁舎１階正面玄関",旧文部省庁舎,東京都千代田区霞が関3-2-2,35.671291,139.749253,,2017-08-02,2017-08-03,10:00,16:00,,,,,1,1,1,1,1,,,,不要,,,"担当部署：文部科学省高等教育局専門教育課
郵便番号：100-8959
住所：東京都千代田区霞が関3-2-2
代表電話：03-5253ｰ4111",無料,,,文部科学省高等教育局専門教育課,100-8959,東京都千代田区霞が関3-2-2,03-5253-4111,,,,,
MEXT091,文部科学省,,シンクロアスリート,,シンクロアスリートは，普段体験できないようなスポーツを，自分が選手になったような視点で，今まさに競技に参加しているかのような「臨場感あふれる映像・音声・動き」を提供します。これまでにないスポーツ観戦システムです。今回の展示では，「カヌースラローム競技」を疑似体験できます。360度の映像が楽しめるVRシステムと，モーションテーブルによって忠実に再現したカヌーの動きをぜひ楽しんでください。,,1,1,1,,1,1,,,,,,,,,5分程度,2017-08-02,2017-08-02,11:00,15:00,随時体験可,,,,1,1,1,1,1,1,,,不要,,,"担当部署：国立高等専門学校機構総務課総務係
郵便番号：193-0834
住所：東京都八王子市東浅川町701-2
直通番号：042-662-3120
メール：soumu@kosen-k.go.jp
Web:http://www.kosen-k.go.jp/",無料,,,国立高等専門学校機構総務課総務係,193-0834,東京都八王子市東浅川町701-2,042-662-3120,,,soumu@kosen-k.go.jp,http://www.kosen-k.go.jp/,
MEXT092,文部科学省,,化学実験できます,化学の力で汚れた水をきれいにしよう。,"白衣を着て化学実験を体験できます。
色が変わったり、固形物が出てきたり、いろいろな変化を観察しながらどんどん水がきれいになっていきます。実験はみんなでゆっくり進めていきますので心配いりません。保護者の方も化学の世界を楽しんでください。",,1,1,,,,1,,,,,,,,,60分,2017-08-03,2017-08-03,10:00,16:00,"実施回数計4回
①10：00～11：00
②11：30～12：30
③13：30～14：30
④15：00～16：00",,,,,1,1,1,1,1,小学生は保護者・引率者同伴,"各回15名程度
（保護者・引率者を除く）",不要,当日、ブースにて整理券を配付（午前実施分を10:00頃、午後実施分を13:00頃に配付）,,"担当部署：国立高等専門学校機構総務課総務係
郵便番号：193-0834
住所：東京都八王子市東浅川町701-2
直通番号：042-662-3120
メール：soumu@kosen-k.go.jp
Web:http://www.kosen-k.go.jp/",無料,,,国立高等専門学校機構総務課総務係,193-0834,東京都八王子市東浅川町701-2,042-662-3120,,,soumu@kosen-k.go.jp,http://www.kosen-k.go.jp/,
MEXT028,文部科学省,日本科学未来館,きみの筋肉でロボットが動く？！,筋肉が電気をつくる？きみの筋肉でロボットを動かそう！,人や動物の体を動かしている「電気信号」を、マッスル・センサーを使って取りだし、チームで協力して、ロボットを動かします。普段感じることのできない体の中の信号を体感することで、体を動かすしくみについて学び、生命の不思議さについて楽しみながら考えます。,,,1,1,,,,,,,"《受付》
旧文部省庁舎１階正面玄関",旧文部省庁舎,東京都千代田区霞が関3-2-2,35.671291,139.749253,15分,2017-08-02,2017-08-02,10:30,16:00,,,,,1,1,1,1,1,1,,,不要,,,"担当部署：文部科学省科学技術・学術政策局人材政策課
郵便番号：100-8959
住所：東京都千代田区霞が関3-2-2
代表電話：03-5253-4111",無料,,,文部科学省科学技術・学術政策局人材政策課,100-8959,東京都千代田区霞が関3-2-2,03-5253-4111,,,,,
MEXT029,文部科学省,量子科学技術研究開発機構,放射線ってどんなもの？,"「見る」「測る」「実験する」を通して、放射線について学ぼう
■放射線を測る",私たちの身近にある放射線。においもなければ音も出ない、見ることも触れることもできません。目に見えない放射線を見たり、測ったり、放射線の特性を知る実験をして、放射線について学んでみませんか？,■サーベイメーターを使って、身の回りのものを測ってみよう,1,,,,,1,1,,1,"《受付》
旧文部省庁舎１階正面玄関",旧文部省庁舎,東京都千代田区霞が関3-2-2,35.671291,139.749253,,2017-08-02,2017-08-03,10:00,15:30,"①10：00～10：20
②11：00～11：20
③12：00～12：20
④13：00～13：20
⑤14：00～14：20
⑥15：00～15：30",,,,1,1,1,1,1,1,就学前、小学生は保護者と一緒に工作、体験をしていただきます（子供のみは不可）。,,不要,,不要,"担当部署：量子科学技術研究開発機構経営企画部広報課
郵便番号：263-8555
住所：千葉市稲毛区穴川4-9-1
代表電話：043-206-3026
直通電話：
fax：
メール：info@qst.go.jp
web：http://www.qst.go.jp",無料,,,量子科学技術研究開発機構経営企画部広報課,263-8555,千葉市稲毛区穴川4-9-1,043-206-3026,,,info@qst.go.jp,http://www.qst.go.jp,
MEXT030,文部科学省,量子科学技術研究開発機構,放射線ってどんなもの？,"「見る」「測る」「実験する」を通して、放射線について学ぼう

■放射線を見る","私たちの身近にある放射線。においもなければ音も出ない、見ることも触れることもできません。目に見えない放射線を見たり、測ったり、放射線の特性を知る実験をして、放射線について学んでみませんか？
",■霧箱工作をして放射線を見てみよう,1,,,,,1,1,,1,"《受付》
旧文部省庁舎１階正面玄関",旧文部省庁舎,東京都千代田区霞が関3-2-2,35.671291,139.749253,"1回
30分",2017-08-02,2017-08-03,10:00,15:30,"①10：30～11：00
②12：30～13：00
③14：30～15：00
※15:00以降は実演のみ行います",,,,1,1,1,1,1,1,就学前、小学生は保護者と一緒に工作、体験をしていただきます（子供のみは不可）。,"各回5名
（保護者、付き添い者除く）",不要,当日10時よりブースにて、整理券配布,不要,"担当部署：量子科学技術研究開発機構経営企画部広報課
郵便番号：263-8555
住所：千葉市稲毛区穴川4-9-1
代表電話：043-206-3026
直通電話：
fax：
メール：info@qst.go.jp
web：http://www.qst.go.jp",無料,,,量子科学技術研究開発機構経営企画部広報課,263-8555,千葉市稲毛区穴川4-9-1,043-206-3026,,,info@qst.go.jp,http://www.qst.go.jp,
MEXT031,文部科学省,量子科学技術研究開発機構,放射線ってどんなもの？,"「見る」「測る」「実験する」を通して、放射線について学ぼう
■放射線の特性を知る","私たちの身近にある放射線。においもなければ音も出ない、見ることも触れることもできません。目に見えない放射線を見たり、測ったり、放射線の特性を知る実験をして、放射線について学んでみませんか？
",■放射線を当てた樹脂と当てない樹脂、見た目は全く同じです。この2つの樹脂をお湯につけて形状がどうなるか実験してみよう,1,,,,,1,1,,1,"《受付》
旧文部省庁舎１階正面玄関",旧文部省庁舎,東京都千代田区霞が関3-2-2,35.671291,139.749253,"1回
30分",2017-08-02,2017-08-03,10:00,15:30,"①11：30～12：00
②13：30～14：00",,,,1,1,1,1,1,1,就学前、小学生は保護者と一緒に工作、体験をしていただきます（子供のみは不可）。,各回10名（保護者、付き添い者除く）,不要,当日10時よりブースにて、整理券配布,不要,"担当部署：量子科学技術研究開発機構経営企画部広報課
郵便番号：263-8555
住所：千葉市稲毛区穴川4-9-1
代表電話：043-206-3026
直通電話：
fax：
メール：info@qst.go.jp
web：http://www.qst.go.jp",無料,,,量子科学技術研究開発機構経営企画部広報課,263-8555,千葉市稲毛区穴川4-9-1,043-206-3026,,,info@qst.go.jp,http://www.qst.go.jp,
MEXT032,文部科学省,大学共同利用機関法人人間文化研究機構,"「さわって　ためして　かんがえよう！」
人文機構体験型スタンプラリー




","・博物館で歴史を体感

・くずし字を読んでみよう！

・にほんごパズル＆クイズ

・妖怪コーナー

・地球犬と行く！世界への冒険

・ビーズにふれる","●国立歴史民俗博物館（れきはく）に所蔵されている銅鐸・銅鏡等の複製品や、屏風・絵巻等の高精細画像データを使用した体験型ワークショップ等を実施します。（予定）
●国文学研究資料館（こくぶんけん）に所蔵されている百人一首かるたや歴史資料の画像データ、古典籍を使用し、くずし字を分かりやすく紹介します。また、百人一首絵の顔ハメパネルも設置します。
●国立国語研究所（こくごけん）が作成した、日本語・ことばに関するパズルやクイズに挑戦できる展示コーナーを設置します。
●国際日本文化研究センター（にちぶんけん）の妖怪データベースを元に作成した、「妖怪スタンプコーナー」を設置します。データベースの利用方法も分かりやすく紹介します。
●総合地球環境学研究所（ちきゅうけん）の調査地の様子を紹介した動画「地球犬と行く！世界への冒険」をご覧いただき、クイズに挑戦していただきます。マスコットキャラ『地球犬』も、登場します！
●国立民族学博物館（みんぱく）で開催した特別展「ビーズ　－つなぐ・かざる・みせる」で使用したアフリカのビーズ製品（ネックレス、帽子、女性用衣装等）にふれていただきます。",,1,1,,1,,1,1,,,"《受付》
旧文部省庁舎１階正面玄関",旧文部省庁舎,東京都千代田区霞が関3-2-2,35.671291,139.749253,,2017-08-02,2017-08-03,10:00,16:00,,,,,1,1,1,1,1,1,※「ビーズにふれる」については、高校生以上の方も対象に実施します。,,不要,,,"【関係機関】
担当部署：大学共同利用機関法人人間文化研究機構本部事務局 総務課総務係
郵便番号：105-0001
住所：東京都港区虎ノ門4-3-13 ヒューリック神谷町ビル2階
代表電話：03-6402-9200
直通電話：03-6402-9213
fax：03-6402-9240
メール：soumu@nihu.jp
web：http://www.nihu.jp/

【省内担当】
担当部署：文部科学省研究振興局学術機関課機構総括係
郵便番号：100-8959
住所：東京都千代田区霞が関３－２－２
代表電話：03-5253-4111",無料,,,文部科学省研究振興局学術機関課機構総括係,100-8959,東京都千代田区霞が関3-2-2,03-5253-4111,,,,,"【関係機関】
担当部署：大学共同利用機関法人人間文化研究機構本部事務局 総務課総務係
郵便番号：105-0001
住所：東京都港区虎ノ門4-3-13 ヒューリック神谷町ビル2階
代表電話：03-6402-9200
直通電話：03-6402-9213
fax：03-6402-9240
メール：soumu@nihu.jp
web：http://www.nihu.jp/"
MEXT033,文部科学省,大学共同利用機関法人自然科学研究機構,核融合・プラズマって何だろう,プラズマを見て、触れて、感じてみよう,"以下の展示を行います。
・電子レンジを使ったプラズマ実験
・プラズマボールに触れる体験
・核融合科学研究所の紹介
  (紹介DVD上映、パネル展示、パンフレット等の配布)",,1,1,,,,1,,,,"《受付》
旧文部省庁舎１階正面玄関",旧文部省庁舎,東京都千代田区霞が関3-2-2,35.671291,139.749253,,2017-08-02,2017-08-03,10:00,16:00,随時,,,,1,1,1,1,1,1,心臓にペースメーカー等を付けている方はご遠慮ください(プラズマボールに触れないようにしてください),,不要,,,"【関係機関】
担当部署：大学共同利用機関法人自然科学研究機構事務局企画連携課企画連携係
郵便番号：105-0001
住所：東京都港区虎ノ門4-3-13
代表電話：03-5425-1300
直通電話：03-5425-1898
fax：03-5425-2049
メール：nins-kikakurenkei@nins.jp
web：http://www.nins.jp/

【省内担当】
担当部署：文部科学省研究振興局学術機関課機構総括係
郵便番号：100-8959
住所：東京都千代田区霞が関３－２－２
代表電話：03-5253-4111",無料,,,文部科学省研究振興局学術機関課機構総括係,100-8959,東京都千代田区霞が関3-2-2,03-5253-4111,,,,,"【関係機関】
担当部署：大学共同利用機関法人自然科学研究機構事務局企画連携課企画連携係
郵便番号：105-0001
住所：東京都港区虎ノ門4-3-13
代表電話：03-5425-1300
直通電話：03-5425-1898
fax：03-5425-2049
メール：nins-kikakurenkei@nins.jp
web：http://www.nins.jp/"
MEXT034,文部科学省,大学共同利用機関法人自然科学研究機構,基礎生物学,ペーパークラフトでカブトムシ帽子をつくろう,カブトムシ帽子のペーパークラフトを制作します。,,,,,,,,1,,,"《受付》
旧文部省庁舎１階正面玄関",旧文部省庁舎,東京都千代田区霞が関3-2-2,35.671291,139.749253,,2017-08-02,2017-08-02,10:00,16:00,随時,,,,1,1,1,1,1,1,,,不要,,,"【関係機関】
担当部署：大学共同利用機関法人自然科学研究機構事務局企画連携課企画連携係
郵便番号：105-0001
住所：東京都港区虎ノ門4-3-13
代表電話：03-5425-1300
直通電話：03-5425-1898
fax：03-5425-2049
メール：nins-kikakurenkei@nins.jp
web：http://www.nins.jp/

【省内担当】
担当部署：文部科学省研究振興局学術機関課機構総括係
郵便番号：100-8959
住所：東京都千代田区霞が関３－２－２
代表電話：03-5253-4111",無料,,,文部科学省研究振興局学術機関課機構総括係,100-8959,東京都千代田区霞が関3-2-2,03-5253-4111,,,,,"【関係機関】
担当部署：大学共同利用機関法人自然科学研究機構事務局企画連携課企画連携係
郵便番号：105-0001
住所：東京都港区虎ノ門4-3-13
代表電話：03-5425-1300
直通電話：03-5425-1898
fax：03-5425-2049
メール：nins-kikakurenkei@nins.jp
web：http://www.nins.jp/"
MEXT035,文部科学省,大学共同利用機関法人自然科学研究機構,マッスルセンサー,マッスルセンサーで筋肉の電気信号を測ってみよう,"マッスルセンサーを用いて筋肉の電機信号を測ってみます。

その筋肉信号を用いて遊んでみます。（可能な場合のみ実施）",,1,1,,,,1,,,,"《受付》
旧文部省庁舎１階正面玄関",旧文部省庁舎,東京都千代田区霞が関3-2-2,35.671291,139.749253,,2017-08-02,2017-08-03,10:00,16:00,随時,10:00,16:00,,1,1,1,1,1,1,心臓にペースメーカー等を付けている方はご遠慮ください,,不要,,,"【関係機関】
担当部署：大学共同利用機関法人自然科学研究機構事務局企画連携課企画連携係
郵便番号：105-0001
住所：東京都港区虎ノ門4-3-13
代表電話：03-5425-1300
直通電話：03-5425-1898
fax：03-5425-2049
メール：nins-kikakurenkei@nins.jp
web：http://www.nins.jp/

【省内担当】
担当部署：文部科学省研究振興局学術機関課機構総括係
郵便番号：100-8959
住所：東京都千代田区霞が関３－２－２
代表電話：03-5253-4111",無料,,,文部科学省研究振興局学術機関課機構総括係,100-8959,東京都千代田区霞が関3-2-2,03-5253-4111,,,,,"【関係機関】
担当部署：大学共同利用機関法人自然科学研究機構事務局企画連携課企画連携係
郵便番号：105-0001
住所：東京都港区虎ノ門4-3-13
代表電話：03-5425-1300
直通電話：03-5425-1898
fax：03-5425-2049
メール：nins-kikakurenkei@nins.jp
web：http://www.nins.jp/"
MEXT036,文部科学省,大学共同利用機関法人情報・システム研究機構,統計のひみつを学ぼう！,,子供たちに水槽の中の白玉・黒玉の数を当てるサンプリング実験を体験してもらい、統計学に楽しくふれていただきます。,,1,1,,,,1,,,,"《受付》
旧文部省庁舎１階正面玄関",旧文部省庁舎,東京都千代田区霞が関3-2-2,35.671291,139.749253,1人10～15分程度,"2017-8-2
2017-8-3","2017-8-2
2017-8-3","13:00
11:00","16:00
16:00",,,,,,1,1,1,1,1,小学生～大人,,不要,,,"【関係機関】
担当部署：大学共同利用機関法人情報・システム研究機構統計数理研究所URAステーション
郵便番号：190-8562
住所：東京都立川市緑町10-3
代表電話：050-5533-8500
直通電話：050-5533-8580
メール：ask-ura@ism.ac.jp
web：http://www.ism.ac.jp/

担当部署：大学共同利用機関法人情報・システム研究機構　事務局総務課総務係
郵便番号：105-0001
住所：東京都港区虎ノ門4-3-13　ヒューリック神谷町ビル2階
直通電話：03-6402-6200
メール：ssoumu@rois.ac.jp

【省内担当】
担当部署：文部科学省研究振興局学術機関課機構総括係
郵便番号：100-8959
住所：東京都千代田区霞が関３－２－２
代表電話：03-5253-4111",無料,,,文部科学省研究振興局学術機関課機構総括係,100-8959,東京都千代田区霞が関3-2-2,03-5253-4111,,,,,"【関係機関】
担当部署：大学共同利用機関法人情報・システム研究機構統計数理研究所URAステーション
郵便番号：190-8562
住所：東京都立川市緑町10-3
代表電話：050-5533-8500
直通電話：050-5533-8580
メール：ask-ura@ism.ac.jp
web：http://www.ism.ac.jp/

担当部署：大学共同利用機関法人情報・システム研究機構　事務局総務課総務係
郵便番号：105-0001
住所：東京都港区虎ノ門4-3-13　ヒューリック神谷町ビル2階
直通電話：03-6402-6200
メール：ssoumu@rois.ac.jp"
